JD,Flx(V),E_flx,Q/I,E_Q/I,U/I,E_U/I,V-J,E_V-J
5191.37,8.06E-11,2.37E-13,-0.1087,0.0028,0.0063,0.0018,2.031,0.01
5192.19,6.06E-11,1.69E-13,-0.0956,0.0019,-0.0387,0.004,2.01,0.005
5194.24,6.55E-11,9.73E-14,-0.1436,0.0031,0.0425,0.0034,1.912,0.003
5195.19,6.61E-11,5.54E-13,-0.101,0.0183,0.1084,0.0217,1.958,0.017
5200.08,6.28E-11,9.88E-14,-0.0061,0.0033,0.0333,0.0044,1.877,0.002
5201.23,5.30E-11,1.56E-13,-0.0194,0.0091,0.1083,0.0012,1.902,0.005
5202.15,3.91E-11,7.73E-14,0.0088,0.0083,-0.024,0.0019,1.917,0.003
5204.28,3.36E-11,1.43E-13,-0.0419,0.003,-0.1009,0.0145,1.958,0.007
5214.17,5.50E-11,5.09E-14,-0.0732,0.001,0.0354,0.0021,2.012,0.004
5215.18,4.19E-11,5.64E-14,-0.0532,0.0017,0.0283,0.0051,2.06,0.003
5216.11,4.97E-11,7.29E-14,-0.0086,0.0064,-0.0483,0.0004,2.043,0.002
5218.17,5.13E-11,1.15E-13,0.0014,0.0004,0.0366,0.0036,1.987,0.004
5220.15,4.79E-11,6.79E-14,-0.0042,0.0043,-0.0022,0.0005,2.068,0.003
5221.12,5.44E-11,9.94E-14,-0.0602,0.0034,-0.0241,0.0031,2.061,0.004
5222.11,9.05E-11,1.29E-13,-0.0393,0.0012,-0.034,0.0046,1.951,0.002
5223.17,9.35E-11,1.95E-13,-0.0096,0.0017,-0.0869,0.0032,1.968,0.003
5225.1,9.61E-11,9.43E-14,-0.1481,0.0046,-0.0401,0.0063,1.942,0.002
5226.17,7.65E-11,2.16E-13,-0.0892,0.0068,0.012,0.0024,1.963,0.005
5228.02,9.35E-11,1.34E-13,-0.0569,0.0021,0.1014,0.0036,1.925,0.004
